Name,Price,Product Link,Build,Frequency,Processor,Display,Memory,Camera,Connectivity,Features,Battery
VivoX Fold5,"Rs. 569,999",https://www.whatmobile.com.pk/Vivo_X-Fold5,"Android 15 OS, up to 4 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 3.3 GHz Cortex-X4 + 3 x 3.2 GHz Cortex-A720 + 2 x 3.0 GHz Cortex-A720 + 2 x 2.3 GHz Cortex-A520),"Foldable LTPO AMOLED Capacitive Touchscreen, 1B colors","512GB Built-in, 16GB RAM, UFS 4.1","Triple Camera: 50 MP, f/1.6, 23mm (wide), 1/1.56"", PDAF, OIS + 50 MP, f/2.6, 70mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom + 50 MP, f/2.1, 15mm, (ultrawide), 1/2.76"", PDAF, Dual LED Flash","Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band, Wi-Fi Direct","Accelerometer, Compass, Fingerprint (side-mounted), Gyro, Proximity",Li-ion Si-Ca 6000 mAh
VivoX200 Pro,"Rs. 329,999",https://www.whatmobile.com.pk/Vivo_X200-Pro,"Android 15 OS, up to 4 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 3.63 GHz Cortex-X925 + 3 x 3.3 GHz Cortex-X4 + 4 x 2.4 GHz Cortex-A720),"LTPO AMOLED Capacitive Touchscreen, 1B Colors","512GB Built-in, 16GB RAM, UFS 4.0","Triple Camera: 50 MP, f/1.6, 23mm (wide), 1/1.28"", PDAF, OIS + 200 MP, f/2.7, 85mm (periscope telephoto), 1/1.4"", multi-directional PDAF, OIS, 3.7x optical zoom, macro 2.7:1 + 50 MP, f/2.0, 15mm, (ultrawide), 1/2.76"", AF, LED Flash","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","Accelerometer, color spectrum, Compass, Fingerprint (under display, ultrasonic), Gyro, Proximity, Satellite connectivity support (optional)","(Non removable), 6000 mAh"
VivoX200 FE,"Rs. 219,999",https://www.whatmobile.com.pk/Vivo_X200-FE,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 3.4 GHz Cortex-X4 + 3 x 2.85 GHz Cortex-X4 + 4 x 2.0 GHz Cortex-A720),"Capacitive LTPO AMOLED Touchscreen, 1B Colors","512GB Built-in, 12GB RAM, UFS 3.1","Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF + 50 MP, f/2.7, 70mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom + 8 MP, f/2.2, (ultrawide), 1/4.0"", LED Flash","Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6500 mAh
VivoV60 512GB,"Rs. 159,999",https://www.whatmobile.com.pk/Vivo_V60-512GB,"Android 15, up to 4 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),"AMOLED Capacitive Touchscreen, 1B Colors","512GB Built-in, 12GB RAM","Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS + 50 MP, f/2.7, 73mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom + 8 MP, f/2.0, 15mm, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity, Virtual proximity sensing",Li-ion Si-Ca 6500 mAh
VivoV60,"Rs. 149,999",https://www.whatmobile.com.pk/Vivo_V60,"Android 15, up to 4 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.8 GHz Cortex-720 + 4 x 2.4 GHz Cortex-720 + 3 x 1.8 GHz Cortex-520),"AMOLED Capacitive Touchscreen, 1B Colors","256GB Built-in, 12GB RAM","Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.56"", PDAF, OIS + 50 MP, f/2.7, 73mm (periscope telephoto), 1/1.95"", PDAF, OIS, 3x optical zoom + 8 MP, f/2.0, 15mm, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity, Virtual proximity sensing",Li-ion Si-Ca 6500 mAh
VivoV50 512GB,"Rs. 149,999",https://www.whatmobile.com.pk/Vivo_V50-512GB,"Android 15 OS, 3 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.63 GHz Cortex-A715 + 3 x 2.4 GHz Cortex-A715 + 4 x 1.8 GHz Cortex-A510),AMOLED Capacitive Touchscreen,"512GB Built-in, 12GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.9, 23mm (wide), 1/1.55"", PDAF, OIS + 50 MP, f/2.0, 15mm, (ultrawide), 1/2.76"", AF, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity",Si-Ca 6000 mAh
VivoV40,"Rs. 139,999",https://www.whatmobile.com.pk/Vivo_V40,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.63 GHz Cortex-A715 + 3 x 2.4 GHz Cortex-A715 + 4 x 1.8 GHz Cortex-A510),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 12GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.9, 24mm (wide), 1/1.56"", PDAF, OIS + 50 MP, f/2.0, 15mm, (ultrawide), 1/2.76"", AF, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity",Si-C Li-Ion 5500 mAh
VivoV50,"Rs. 139,999",https://www.whatmobile.com.pk/Vivo_V50,"Android 15 OS, 3 major Android upgrades",SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.63 GHz Cortex-A715 + 3 x 2.4 GHz Cortex-A715 + 4 x 1.8 GHz Cortex-A510),AMOLED Capacitive Touchscreen,"256GB Built-in, 12GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.9, 23mm (wide), 1/1.55"", PDAF, OIS + 50 MP, f/2.0, 15mm, (ultrawide), 1/2.76"", AF, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity",Si-Ca 6000 mAh
VivoV40e,"Rs. 99,999",https://www.whatmobile.com.pk/Vivo_V40e,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 1B, Multitouch","256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/2.0, (wide), 1/1.95"", PDAF, OIS + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-ion Non removable), 5500 mAh"
VivoV30e,"Rs. 95,999",https://www.whatmobile.com.pk/Vivo_V30e,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.2 GHz Cortex-A78 + 4 x 1.8 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 1B, Multitouch","256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, 26mm (wide), 1/1.95"", PDAF, + 8 MP, f/2.2, (ultrawide), 1/4.0"", 1.12µm, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-ion Non removable), 5500 mAh"
VivoV60 Lite 5G,"Rs. 94,999",https://www.whatmobile.com.pk/Vivo_V60-Lite-5G,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.5 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 1B Colors","256GB Built-in, 12GB RAM, UFS 3.1","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6500 mAh
VivoY73,"Rs. 89,999",https://www.whatmobile.com.pk/Vivo_Y73,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.05 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 64 MP, f/1.8, 26mm (wide), 1/1.72"", PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4000 mAh"
VivoV50 Lite 5G,"Rs. 89,999",https://www.whatmobile.com.pk/Vivo_V50-Lite-5G,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.4 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),AMOLED Capacitive Touchscreen,"256GB Built-in, 12GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6500 mAh
VivoV60 Lite,"Rs. 76,999",https://www.whatmobile.com.pk/Vivo_V60-Lite,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"AMOLED Capacitive Touchscreen, 1B Colors","256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6500 mAh
VivoV50 Lite,"Rs. 73,999",https://www.whatmobile.com.pk/Vivo_V50-Lite,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),AMOLED Capacitive Touchscreen,"256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6500 mAh
VivoY400,"Rs. 64,999",https://www.whatmobile.com.pk/Vivo_Y400,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),AMOLED Capacitive Touchscreen,"256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), 1/2.96"", PDAF + 2 MP, f/2.4, (depth), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Circle to Search, Compass, Fingerprint (under display, optical), Gyro, Proximity",Li-ion Si-Ca 6000 mAh
VivoY200 256GB,"Rs. 62,999",https://www.whatmobile.com.pk/Vivo_Y200-256GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 × 2.8 GHz + 4 × 1.9 GHz),AMOLED Capacitive Touchscreen,"256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP, f/1.8 + 2 MP, f/2.4, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-ion Non removable), 5000 mAh"
VivoY100 256GB,"Rs. 61,999",https://www.whatmobile.com.pk/Vivo_Y100-256GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 8GB RAM (+8GB of Extended RAM ), UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Non removable), 5000 mAh"
VivoY29,"Rs. 49,999",https://www.whatmobile.com.pk/Vivo_Y29,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), Ring-LED flash, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity, Circle to Search",Li-ion 6500 mAh
VivoY28 8GB,"Rs. 44,999",https://www.whatmobile.com.pk/Vivo_Y28-8GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,2.0 Ghz Octa Core,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM (+8GB Extended RAM), UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Non removable), 6000 mAh"
VivoY19s Pro,"Rs. 43,999",https://www.whatmobile.com.pk/Vivo_Y19s-Pro,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),IPS LCD Capacitive Touchscreen,"128GB Built-in, 6GB RAM (+6GB Extended RAM)","Dual Camera: 50 MP,  f/1.8 + 0.08 MP, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity",Li-ion 6000 mAh
VivoY21d,"Rs. 43,999",https://www.whatmobile.com.pk/Vivo_Y21d,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-Core (2 × 1.8 GHz + 6 × 1.8 GHz),IPS LCD Capacitive Touchscreen,"128GB Built-in, 6GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8 + 0.08 MP, f/2.2, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity",Li-ion 6500 mAh
VivoY18 6GB,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y18-6GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800SIM2: GSM 850 / 900 / 1800,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"Capacitive IPS LCD Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF+ 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, 2.4GHz/5GHz","Accelerometer, FingerPrint (Side-mounted), Proximity, Compass","(Li-ion Non removable), 5000 mAh"
VivoY19s 6GB,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y19s-6GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + Auxiliary lens, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-ion Non removable), 5500 mAh"
VivoY18,"Rs. 38,499",https://www.whatmobile.com.pk/Vivo_Y18,Android 14 OS,SIM1: GSM 850 / 900 / 1800SIM2: GSM 850 / 900 / 1800,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"Capacitive IPS LCD Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB(+4GB Expandable) RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), PDAF+ 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot, 2.4GHz/5GHz","Accelerometer, FingerPrint (Side-mounted), Proximity, Compass","(Li-ion Non removable), 5000 mAh"
VivoY19s,"Rs. 36,999",https://www.whatmobile.com.pk/Vivo_Y19s,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 50 MP, f/1.8, (wide), 1/1.95"", PDAF + Auxiliary lens, Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-ion Non removable), 5500 mAh"
VivoY04 128GB,"Rs. 31,999",https://www.whatmobile.com.pk/Vivo_Y04-128GB,Android 15 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),IPS LCD Capacitive Touchscreen,"128GB Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Fingerprint (side-mounted), Proximity",Li-ion 5500 mAh
VivoY03 128GB,"Rs. 30,999",https://www.whatmobile.com.pk/Vivo_Y03-128GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY03t 128GB,"Rs. 29,999",https://www.whatmobile.com.pk/Vivo_Y03t-128GB,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),IPS LCD Capacitive Touchscreen,"128GB Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Proximity","(Li-ion Non removable), 5000 mAh"
VivoY04,"Rs. 28,999",https://www.whatmobile.com.pk/Vivo_Y04,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),IPS LCD Capacitive Touchscreen,"64 Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Fingerprint (side-mounted), Proximity",Li-ion 5500 mAh
VivoY03,"Rs. 27,999",https://www.whatmobile.com.pk/Vivo_Y03,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","64 Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Proximity",Li-Po Non removable 5000 mAh
VivoY03t,"Rs. 25,999",https://www.whatmobile.com.pk/Vivo_Y03t,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 1.8 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","64GB Built-in, 4GB RAM, eMMC 5.1","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 0.08 MP, f/3.0 (auxiliary lens), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Proximity","(Li-ion Non removable), 5000 mAh"
VivoV29,"Rs. 159,999",https://www.whatmobile.com.pk/Vivo_V29,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.4 GHz Cortex-A78 + 3 x 2.2 GHz Cortex-A78 + 4 x 1.9 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 1B, Multitouch","256GB Built-in, 12GB RAM, UFS 2.2","Triple Camera: 50 MP, f/1.9, (wide), 1/1.56"", PDAF, OIS + 8 MP, f/2.2, (ultrawide), 1/4"" + 2 MP, f/2.4, (depth), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4600 mAh"
VivoV30,"Rs. 129,999",https://www.whatmobile.com.pk/Vivo_V30,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 2.63 GHz Cortex-A715 + 3 x2.4 GHz Cortex-A715 + 4x 1.8 GHz Cortex-A510),"AMOLED Capacitive Touchscreen, 1B, Multitouch","256GB Built-in, 12GB RAM, UFS 2.2","Triple Camera: 50 MP, f/1.9, 23mm (wide), 1/1.55"", PDAF, OIS + 50 MP, f/2.0, 15mm, (ultrawide), 1/2.76"", AF + 2 MP, f/2.4 (market/region dependent), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoV29e,"Rs. 79,999",https://www.whatmobile.com.pk/Vivo_V29e,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.2 GHz Kryo 660 Gold + 6 x 1.8 GHz Kryo 660 Silver),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 64 MP, f/1.8, (wide), PDAF, OIS + 8 MP, f/2.2, (ultrawide), Ring-LED flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4800 mAh"
