Name,Price,Product Link,Build,Frequency,Processor,Display,Memory,Camera,Connectivity,Features,Battery
VivoY36,"Rs. 59,999",https://www.whatmobile.com.pk/Vivo_Y36,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.4 GHz Kryo 265 Gold + 4 x 1.9 GHz Kryo 265 Silver),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY200,"Rs. 57,999",https://www.whatmobile.com.pk/Vivo_Y200,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 × 2.8 GHz + 4 × 1.9 GHz),AMOLED Capacitive Touchscreen,"128GB Built-in, 8GB RAM, UFS 2.2","Dual Camera: 50 MP + 2 MP, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-ion Non removable), 5000 mAh"
VivoY36 256GB,"Rs. 54,999",https://www.whatmobile.com.pk/Vivo_Y36-256GB,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.4 GHz Kryo 265 Gold + 4 x 1.9 GHz Kryo 265 Silver),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","256GB Built-in, 8GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY27,"Rs. 47,999",https://www.whatmobile.com.pk/Vivo_Y27,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY27s,"Rs. 46,999",https://www.whatmobile.com.pk/Vivo_Y27s,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.4 GHz Kryo 265 Gold + 4 x 1.9 GHz Kryo 265 Silver),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), dual-LED dual-tone flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY22 128GB,"Rs. 45,999",https://www.whatmobile.com.pk/Vivo_Y22-128GB,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY28,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y28,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n, dual-band","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Non removable), 6000 mAh"
VivoY17s 6GB,"Rs. 42,999",https://www.whatmobile.com.pk/Vivo_Y17s-6GB,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 6GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (rear mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY17s,"Rs. 38,499",https://www.whatmobile.com.pk/Vivo_Y17s,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (rear mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY02t 128GB,"Rs. 31,999",https://www.whatmobile.com.pk/Vivo_Y02t-128GB,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.35 GHz Cortex-A53 + 4 x 1.8 GHz Cortex-A53),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM, (+4GB Extended RAM)","8 MP, f/2.0, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Proximity, Ambient light senso","(Li-Po Non removable), 5000 mAh"
VivoX80,"Rs. 169,999",https://www.whatmobile.com.pk/Vivo_X80,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 3.05 GHz Cortex-A78 + 3 x 2.6 GHz Cortex-A78 + 4 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 12GB RAM (+4GB Extended RAM), UFS 3.1","Triple Camera: 50 MP, f/1.8, (wide), 1/1.49"", PDAF, Laser AF, OIS + 12 MP, f/2.0, 50mm (telephoto), 1/2.93"", PDAF, 2x optical zoom + 12 MP, f/2.0, 16mm (ultrawide), 1/2.93"", AF, LED Flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Accelerometer, color spectrum, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4500 mAh"
VivoV25,"Rs. 139,999",https://www.whatmobile.com.pk/Vivo_V25,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.4 GHz Cortex-A78 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 12GB RAM (+8GB Extended RAM)","Triple Camera: 64 MP, f/1.8, (wide), PDAF, OIS + 8 MP, f/2.2, 16mm, (ultrawide), 1/4"" + 2 MP, f/2.4, (macro), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Color changing back panel color, Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4500 mAh"
VivoX70 Pro,"Rs. 139,999",https://www.whatmobile.com.pk/Vivo_X70-Pro,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,2.8 Ghz Octa Core,"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 12GB RAM (+4GB Extended RAM)","Quad Camera: 50 MP, f/1.6, (wide), 1/1.31"", PDAF, Laser AF, OIS + 8 MP, f/3.4, 125mm (periscope telephoto), 1/4.0"", PDAF, OIS, 5x optical zoom + 12 MP, f/1.8, 50mm (telephoto), 1/2.93"", PDAF, 2x optical zoom + 12 MP, (ultrawide), LED Flash","Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct, hotspot","Accelerometer, color spectrum, Compass, FingerPrint (under display, optical, Gyro, Proximity","(Li-Po Non removable), 4450 mAh"
VivoX60 Pro,"Rs. 129,999",https://www.whatmobile.com.pk/Vivo_X60-Pro,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (1 x 3.2 GHz Kryo 585 + 3 x 2.42 GHz Kryo 585 + 4 x 1.80 GHz Kryo 585),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","256GB Built-in, 12GB RAM","Triple Camera: 48 MP, f/1.5, 26mm (wide), 1/2.0"", PDAF, gimbal stabilization + 13 MP, f/2.5, 50mm (portrait), 1/2.8"", PDAF, 2x optical zoom + 13 MP, f/2.2, 16mm (ultrawide), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, color spectrum, Compass, FingerPrint (under display, optical, Gyro, Proximity","(Li-Po Non removable), 4200 mAh"
VivoV25e,"Rs. 109,999",https://www.whatmobile.com.pk/Vivo_V25e,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 8GB RAM (+8GB of Extended RAM )","Triple Camera: 64 MP, f/1.8, (wide),, PDAF, OIS + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Color changing back panel color, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4500 mAh"
VivoV23,"Rs. 99,999",https://www.whatmobile.com.pk/Vivo_V23,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.5 GHz Cortex-A78 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, Multitouch","256GB Built-in, 12GB RAM (+4GB Extended RAM)","Triple Camera: 64 MP, f/1.9, 26mm (wide), PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"" + 2 MP, f/2.4, (macro), Dual LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4200 mAh"
VivoV27e,"Rs. 99,999",https://www.whatmobile.com.pk/Vivo_V27e,Android 13 OS,SIM1: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.2 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","256GB Built-in, 8GB RAM","Triple Camera: 64 MP, f/1.8, (wide), PDAF, OIS + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4600 mAh"
VivoY35,"Rs. 79,999",https://www.whatmobile.com.pk/Vivo_Y35,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.4 GHz Kryo 265 Gold + 4 x 1.9 GHz Kryo 265 Silver),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM (+8GB of Extended RAM )","Triple Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY55,"Rs. 75,499",https://www.whatmobile.com.pk/Vivo_Y55,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa core (4 x 2.4 GHz Kryo 265 + 4 x 1.9 GHz Kryo 265),"AMOLED Capacitive Touchscreen, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 50 MP, f/1.8, 26mm (wide), PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), Dual LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoV23e 256GB,"Rs. 69,999",https://www.whatmobile.com.pk/Vivo_V23e-256GB,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.05 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","256GB Built-in, 8GB RAM","Triple Camera: 64 MP, f/1.8, 26mm (wide), PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"" + 2 MP, f/2.4, (macro), dual-LED dual-tone flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4050 mAh"
VivoV23e,"Rs. 64,999",https://www.whatmobile.com.pk/Vivo_V23e,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.05 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 64 MP, f/1.8, 26mm (wide), PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"" + 2 MP, f/2.4, (macro), dual-LED dual-tone flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4050 mAh"
VivoV21,"Rs. 59,999",https://www.whatmobile.com.pk/Vivo_V21,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.4 GHz Cortex-A76 + 6 x 2.0 GHz Cortex-A55),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM, UFS 2.2","Triple Camera: 64 MP, f/1.9, 26mm (wide), 1/1.72"", PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", AF + 2 MP, f/2.4, (depth), dual-LED dual-tone flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4000 mAh"
VivoY21,"Rs. 59,699",https://www.whatmobile.com.pk/Vivo_Y21,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.35 GHz Cortex-A53 + 4 x 1.8 GHz Cortex-A53),"LCD capacitive Touchscreen, 16M Colors, Multitouch","64/128GB Built-in, 4GB RAM (+1GB extended RAM)","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 2 MP, f/2.4, (macro), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY22,"Rs. 57,999",https://www.whatmobile.com.pk/Vivo_Y22,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","64GB Built-in, 4GB RAM, (+4GB virtual RAM)","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro)","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","Accelerometer, Compass, Fingerprint (side-mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY100,"Rs. 56,999",https://www.whatmobile.com.pk/Vivo_Y100,Android 14 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.8 GHz Cortex-A73 + 4 x 1.9 GHz Cortex-A53),"AMOLED Capacitive Touchscreen, Multitouch","128GB Built-in, 8GB RAM, (+8GB of Extended RAM ), UFS 2.2","Dual Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Non removable), 5000 mAh"
VivoY33T,"Rs. 51,999",https://www.whatmobile.com.pk/Vivo_Y33T,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.4 GHz Kryo 265 Gold + 4 x 1.9 GHz Kryo 265 Silver),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, FingerPrint (side-mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoY33s,"Rs. 51,999",https://www.whatmobile.com.pk/Vivo_Y33s,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM (+4GB extended RAM)","Triple Camera: 50 MP, f/1.8, (wide), PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY21t,"Rs. 47,999",https://www.whatmobile.com.pk/Vivo_Y21t,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,2.4Ghz Octa Core,"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM (+2GB virtual RAM)","Triple Camera: 50 MP, f/1.8, 24mm (wide), PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoV21e,"Rs. 46,999",https://www.whatmobile.com.pk/Vivo_V21e,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,2.3Ghz Octa Core,"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 64 MP, f/1.9, 26mm (wide), 1/1.72"", PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", AF + 2 MP, f/2.4, (macro), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4000 mAh"
VivoV20 SE,"Rs. 41,999",https://www.whatmobile.com.pk/Vivo_V20-SE,Android 10.0 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.0 GHz Kryo 260 Gold + 4 x 1.8 GHz Kryo 260 Silver),"AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 48 MP, f/1.8, 25mm (wide), 1/2.0"", PDAF + 8 MP, f/2.2, 16mm (ultrawide), 1/4.0"", AF + 2 MP, f/2.4, (depth), dual-LED dual-tone flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4100 mAh"
VivoY53s,"Rs. 40,999",https://www.whatmobile.com.pk/Vivo_Y53s,Android 11 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.8 GHz Cortex-A55),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM (+4GB Extended RAM after Upgrade)","Triple Camera: 64 MP, f/1.8, 26mm (wide), 1/1.97, PDAF + 2 MP, f/2.4, (macro) + 2 MP, f/2.4, (depth), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side monted), Gyro, Proximity","(Li-Po Non removable), 5000 mAh"
VivoY16,"Rs. 39,999",https://www.whatmobile.com.pk/Vivo_Y16,Android 12 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.3 GHz Cortex-A53 + 4 x 1.8 GHz Cortex-A53),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","64GB Built-in, 4GB RAM","Dual Camera: 13 MP, f/2.2, (wide), PDAF + 2 MP, f/2.4, (macro), LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, hotspot","Accelerometer, Compass, Fingerprint (side mounted), Proximity","(Li-Po Non removable), 5000 mAh"
VivoS1 Pro,"Rs. 39,999",https://www.whatmobile.com.pk/Vivo_S1-Pro,Android 9.0 (Pie),SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (4 x 2.0 GHz Kryo 260 Gold + 4 x 1.8 GHz Kryo 260 Silver),"Super AMOLED capacitive touchscreen, 16M colors, Multitouch","128GB Built-in, 8GB RAM","Quad Camera: 48 MP, f/1.8, (wide), 1/2"", PDAF + 8 MP, f/2.2, 13mm (ultrawide), 1/4"" + 2 MP, f/2.4, 1/5"", (dedicated macro camera) + 2 MP, f/2.4, depth sensor, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Gyro, Proximity","(Li-Po Non removable), 4500 mAh"
VivoS1 4GB,"Rs. 35,999",https://www.whatmobile.com.pk/Vivo_S1-4GB,Android 9.0 (Pie),SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A75 + 6 x 1.7 GHz Cortex-A55),"Super AMOLED Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 4GB RAM","Triple Camera: 16 MP, (wide), 1/2.8"", PDAF + 8 MP, f/2.2, 13mm (ultrawide) + 2 MP, f/2.4, depth sensor, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, WiFi Direct, hotspot","Accelerometer, Compass, Fingerprint (under display, optical), Proximity","(Li-Po Non removable), 4500 mAh"
VivoY51s,"Rs. 35,999",https://www.whatmobile.com.pk/Vivo_Y51s,Android 10.0 OS,SIM1: GSM 850 / 900 / 1800 / 1900SIM2: GSM 850 / 900 / 1800 / 1900,Octa-core (2 x 2.0 GHz Cortex-A77 + 6 x 1.8 GHz Cortex-A76),"IPS LCD Capacitive Touchscreen, 16M Colors, Multitouch","128GB Built-in, 8GB RAM","Triple Camera: 48 MP + 8 MP + 2 MP, LED Flash","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","Accelerometer, Compass, Fingerprint (side mounted)), Proximity",(Li-Po Non removable) 5000 mAh
